Number of epochs,First Unit,Second Unit,Third Unit,Learning Rate,Accuracy
5,0,0,0,0.1,0.1135
5,0,0,0,0.2,0.1135
5,0,0,0,0.30000000000000004,0.1135
5,0,0,0,0.4,0.101
5,0,0,0,0.5,0.101
5,0,0,0,0.6,0.101
5,0,0,0,0.7000000000000001,0.101
5,0,0,0,0.8,0.101
5,0,0,0,0.9,0.101
5,0,0,10,0.1,0.1135
5,0,0,10,0.2,0.1135
5,0,0,10,0.30000000000000004,0.1135
5,0,0,10,0.4,0.101
5,0,0,10,0.5,0.101
5,0,0,10,0.6,0.101
5,0,0,10,0.7000000000000001,0.101
5,0,0,10,0.8,0.101
5,0,0,10,0.9,0.101
5,0,10,0,0.1,0.1135
5,0,10,0,0.2,0.1135
5,0,10,0,0.30000000000000004,0.1135
5,0,10,0,0.4,0.101
5,0,10,0,0.5,0.101
5,0,10,0,0.6,0.101
5,0,10,0,0.7000000000000001,0.101
5,0,10,0,0.8,0.101
5,0,10,0,0.9,0.101
5,0,10,10,0.1,0.1135
5,0,10,10,0.2,0.1135
5,0,10,10,0.30000000000000004,0.1135
5,0,10,10,0.4,0.101
5,0,10,10,0.5,0.101
5,0,10,10,0.6,0.101
5,0,10,10,0.7000000000000001,0.101
5,0,10,10,0.8,0.101
5,0,10,10,0.9,0.101
5,0,20,0,0.1,0.1135
5,0,20,0,0.2,0.1135
5,0,20,0,0.30000000000000004,0.1135
5,0,20,0,0.4,0.101
5,0,20,0,0.5,0.101
5,0,20,0,0.6,0.101
5,0,20,0,0.7000000000000001,0.101
5,0,20,0,0.8,0.101
5,0,20,0,0.9,0.101
5,0,20,10,0.1,0.1135
5,0,20,10,0.2,0.1135
5,0,20,10,0.30000000000000004,0.1135
5,0,20,10,0.4,0.101
5,0,20,10,0.5,0.101
5,0,20,10,0.6,0.101
5,0,20,10,0.7000000000000001,0.101
5,0,20,10,0.8,0.101
5,0,20,10,0.9,0.101
5,0,30,0,0.1,0.1135
5,0,30,0,0.2,0.1135
5,0,30,0,0.30000000000000004,0.1135
5,0,30,0,0.4,0.101
5,0,30,0,0.5,0.101
5,0,30,0,0.6,0.101
5,0,30,0,0.7000000000000001,0.101
5,0,30,0,0.8,0.101
5,0,30,0,0.9,0.101
5,0,30,10,0.1,0.1135
5,0,30,10,0.2,0.1135
5,0,30,10,0.30000000000000004,0.1135
5,0,30,10,0.4,0.101
5,0,30,10,0.5,0.101
5,0,30,10,0.6,0.101
5,0,30,10,0.7000000000000001,0.101
5,0,30,10,0.8,0.101
5,0,30,10,0.9,0.101
5,0,40,0,0.1,0.1135
5,0,40,0,0.2,0.1135
5,0,40,0,0.30000000000000004,0.1135
5,0,40,0,0.4,0.101
5,0,40,0,0.5,0.101
5,0,40,0,0.6,0.101
5,0,40,0,0.7000000000000001,0.101
5,0,40,0,0.8,0.101
5,0,40,0,0.9,0.101
5,0,40,10,0.1,0.1135
5,0,40,10,0.2,0.1135
5,0,40,10,0.30000000000000004,0.1135
5,0,40,10,0.4,0.101
5,0,40,10,0.5,0.101
5,0,40,10,0.6,0.101
5,0,40,10,0.7000000000000001,0.101
5,0,40,10,0.8,0.101
5,0,40,10,0.9,0.101
5,20,0,0,0.1,0.1135
5,20,0,0,0.2,0.1135
5,20,0,0,0.30000000000000004,0.1135
5,20,0,0,0.4,0.101
5,20,0,0,0.5,0.101
5,20,0,0,0.6,0.101
5,20,0,0,0.7000000000000001,0.101
5,20,0,0,0.8,0.101
5,20,0,0,0.9,0.101
5,20,0,10,0.1,0.1135
5,20,0,10,0.2,0.1135
5,20,0,10,0.30000000000000004,0.1135
5,20,0,10,0.4,0.101
5,20,0,10,0.5,0.101
5,20,0,10,0.6,0.101
5,20,0,10,0.7000000000000001,0.101
5,20,0,10,0.8,0.101
5,20,0,10,0.9,0.101
5,20,10,0,0.1,0.1135
5,20,10,0,0.2,0.1135
5,20,10,0,0.30000000000000004,0.1135
5,20,10,0,0.4,0.101
5,20,10,0,0.5,0.101
5,20,10,0,0.6,0.101
5,20,10,0,0.7000000000000001,0.101
5,20,10,0,0.8,0.101
5,20,10,0,0.9,0.101
5,20,10,10,0.1,0.5422
5,20,10,10,0.2,0.3637
5,20,10,10,0.30000000000000004,0.196
5,20,10,10,0.4,0.2711
5,20,10,10,0.5,0.2654
5,20,10,10,0.6,0.1974
5,20,10,10,0.7000000000000001,0.2733
5,20,10,10,0.8,0.101
5,20,10,10,0.9,0.1135
5,20,20,0,0.1,0.1135
5,20,20,0,0.2,0.1135
5,20,20,0,0.30000000000000004,0.1135
5,20,20,0,0.4,0.101
5,20,20,0,0.5,0.101
5,20,20,0,0.6,0.101
5,20,20,0,0.7000000000000001,0.101
5,20,20,0,0.8,0.101
5,20,20,0,0.9,0.101
5,20,20,10,0.1,0.7393
5,20,20,10,0.2,0.3542
5,20,20,10,0.30000000000000004,0.1014
5,20,20,10,0.4,0.3115
5,20,20,10,0.5,0.2689
5,20,20,10,0.6,0.2096
5,20,20,10,0.7000000000000001,0.1317
5,20,20,10,0.8,0.2109
5,20,20,10,0.9,0.1165
5,20,30,0,0.1,0.1135
5,20,30,0,0.2,0.1135
5,20,30,0,0.30000000000000004,0.1135
5,20,30,0,0.4,0.101
5,20,30,0,0.5,0.101
5,20,30,0,0.6,0.101
5,20,30,0,0.7000000000000001,0.101
5,20,30,0,0.8,0.101
5,20,30,0,0.9,0.101
5,20,30,10,0.1,0.7282
5,20,30,10,0.2,0.4645
5,20,30,10,0.30000000000000004,0.4499
5,20,30,10,0.4,0.1135
5,20,30,10,0.5,0.3396
5,20,30,10,0.6,0.1032
5,20,30,10,0.7000000000000001,0.2545
5,20,30,10,0.8,0.1135
5,20,30,10,0.9,0.3408
5,20,40,0,0.1,0.1135
5,20,40,0,0.2,0.1135
5,20,40,0,0.30000000000000004,0.1135
5,20,40,0,0.4,0.101
5,20,40,0,0.5,0.101
5,20,40,0,0.6,0.101
5,20,40,0,0.7000000000000001,0.101
5,20,40,0,0.8,0.101
5,20,40,0,0.9,0.101
5,20,40,10,0.1,0.6289
5,20,40,10,0.2,0.4051
5,20,40,10,0.30000000000000004,0.4744
5,20,40,10,0.4,0.3731
5,20,40,10,0.5,0.2325
5,20,40,10,0.6,0.2637
5,20,40,10,0.7000000000000001,0.1447
5,20,40,10,0.8,0.0958
5,20,40,10,0.9,0.276
5,40,0,0,0.1,0.1135
5,40,0,0,0.2,0.1135
5,40,0,0,0.30000000000000004,0.1135
5,40,0,0,0.4,0.101
5,40,0,0,0.5,0.101
5,40,0,0,0.6,0.101
5,40,0,0,0.7000000000000001,0.101
5,40,0,0,0.8,0.101
5,40,0,0,0.9,0.101
5,40,0,10,0.1,0.1135
5,40,0,10,0.2,0.1135
5,40,0,10,0.30000000000000004,0.1135
5,40,0,10,0.4,0.101
5,40,0,10,0.5,0.101
5,40,0,10,0.6,0.101
5,40,0,10,0.7000000000000001,0.101
5,40,0,10,0.8,0.101
5,40,0,10,0.9,0.101
5,40,10,0,0.1,0.1135
5,40,10,0,0.2,0.1135
5,40,10,0,0.30000000000000004,0.1135
5,40,10,0,0.4,0.101
5,40,10,0,0.5,0.101
5,40,10,0,0.6,0.101
5,40,10,0,0.7000000000000001,0.101
5,40,10,0,0.8,0.101
5,40,10,0,0.9,0.101
5,40,10,10,0.1,0.5135
5,40,10,10,0.2,0.2388
5,40,10,10,0.30000000000000004,0.2303
5,40,10,10,0.4,0.1011
5,40,10,10,0.5,0.1028
5,40,10,10,0.6,0.1141
5,40,10,10,0.7000000000000001,0.101
5,40,10,10,0.8,0.2441
5,40,10,10,0.9,0.1025
5,40,20,0,0.1,0.1135
5,40,20,0,0.2,0.1135
5,40,20,0,0.30000000000000004,0.1135
5,40,20,0,0.4,0.101
5,40,20,0,0.5,0.101
5,40,20,0,0.6,0.101
5,40,20,0,0.7000000000000001,0.101
5,40,20,0,0.8,0.101
5,40,20,0,0.9,0.101
5,40,20,10,0.1,0.6878
5,40,20,10,0.2,0.5293
5,40,20,10,0.30000000000000004,0.2047
5,40,20,10,0.4,0.2378
5,40,20,10,0.5,0.205
5,40,20,10,0.6,0.1599
5,40,20,10,0.7000000000000001,0.3314
5,40,20,10,0.8,0.1492
5,40,20,10,0.9,0.0958
5,40,30,0,0.1,0.1135
5,40,30,0,0.2,0.1135
5,40,30,0,0.30000000000000004,0.1135
5,40,30,0,0.4,0.101
5,40,30,0,0.5,0.101
5,40,30,0,0.6,0.101
5,40,30,0,0.7000000000000001,0.101
5,40,30,0,0.8,0.101
5,40,30,0,0.9,0.101
5,40,30,10,0.1,0.6737
5,40,30,10,0.2,0.3088
5,40,30,10,0.30000000000000004,0.2265
5,40,30,10,0.4,0.2039
5,40,30,10,0.5,0.2514
5,40,30,10,0.6,0.1737
5,40,30,10,0.7000000000000001,0.101
5,40,30,10,0.8,0.1307
5,40,30,10,0.9,0.2593
5,40,40,0,0.1,0.1135
5,40,40,0,0.2,0.1135
5,40,40,0,0.30000000000000004,0.1135
5,40,40,0,0.4,0.101
5,40,40,0,0.5,0.101
5,40,40,0,0.6,0.101
5,40,40,0,0.7000000000000001,0.101
5,40,40,0,0.8,0.101
5,40,40,0,0.9,0.101
5,40,40,10,0.1,0.7533
5,40,40,10,0.2,0.3157
5,40,40,10,0.30000000000000004,0.3093
5,40,40,10,0.4,0.2761
5,40,40,10,0.5,0.1948
5,40,40,10,0.6,0.098
5,40,40,10,0.7000000000000001,0.2111
5,40,40,10,0.8,0.1889
5,40,40,10,0.9,0.098
5,60,0,0,0.1,0.1135
5,60,0,0,0.2,0.1135
5,60,0,0,0.30000000000000004,0.1135
5,60,0,0,0.4,0.101
5,60,0,0,0.5,0.101
5,60,0,0,0.6,0.101
5,60,0,0,0.7000000000000001,0.101
5,60,0,0,0.8,0.101
5,60,0,0,0.9,0.101
5,60,0,10,0.1,0.1135
5,60,0,10,0.2,0.1135
5,60,0,10,0.30000000000000004,0.1135
5,60,0,10,0.4,0.101
5,60,0,10,0.5,0.101
5,60,0,10,0.6,0.101
5,60,0,10,0.7000000000000001,0.101
5,60,0,10,0.8,0.101
5,60,0,10,0.9,0.101
5,60,10,0,0.1,0.1135
5,60,10,0,0.2,0.1135
5,60,10,0,0.30000000000000004,0.1135
5,60,10,0,0.4,0.101
5,60,10,0,0.5,0.101
5,60,10,0,0.6,0.101
5,60,10,0,0.7000000000000001,0.101
5,60,10,0,0.8,0.101
5,60,10,0,0.9,0.101
5,60,10,10,0.1,0.601
5,60,10,10,0.2,0.3915
5,60,10,10,0.30000000000000004,0.3317
5,60,10,10,0.4,0.2144
5,60,10,10,0.5,0.0928
5,60,10,10,0.6,0.2074
5,60,10,10,0.7000000000000001,0.101
5,60,10,10,0.8,0.1665
5,60,10,10,0.9,0.101
5,60,20,0,0.1,0.1135
5,60,20,0,0.2,0.1135
5,60,20,0,0.30000000000000004,0.1135
5,60,20,0,0.4,0.101
5,60,20,0,0.5,0.101
5,60,20,0,0.6,0.101
5,60,20,0,0.7000000000000001,0.101
5,60,20,0,0.8,0.101
5,60,20,0,0.9,0.101
5,60,20,10,0.1,0.6521
5,60,20,10,0.2,0.4894
5,60,20,10,0.30000000000000004,0.4034
5,60,20,10,0.4,0.191
5,60,20,10,0.5,0.3034
5,60,20,10,0.6,0.1193
5,60,20,10,0.7000000000000001,0.1028
5,60,20,10,0.8,0.1267
5,60,20,10,0.9,0.2062
5,60,30,0,0.1,0.1135
5,60,30,0,0.2,0.1135
5,60,30,0,0.30000000000000004,0.1135
5,60,30,0,0.4,0.101
5,60,30,0,0.5,0.101
5,60,30,0,0.6,0.101
5,60,30,0,0.7000000000000001,0.101
5,60,30,0,0.8,0.101
5,60,30,0,0.9,0.101
5,60,30,10,0.1,0.6885
5,60,30,10,0.2,0.3864
5,60,30,10,0.30000000000000004,0.3948
5,60,30,10,0.4,0.2806
5,60,30,10,0.5,0.1362
5,60,30,10,0.6,0.2407
5,60,30,10,0.7000000000000001,0.1646
5,60,30,10,0.8,0.1156
5,60,30,10,0.9,0.1032
5,60,40,0,0.1,0.1135
5,60,40,0,0.2,0.1135
5,60,40,0,0.30000000000000004,0.1135
5,60,40,0,0.4,0.101
5,60,40,0,0.5,0.101
5,60,40,0,0.6,0.101
5,60,40,0,0.7000000000000001,0.101
5,60,40,0,0.8,0.101
5,60,40,0,0.9,0.101
5,60,40,10,0.1,0.8142
5,60,40,10,0.2,0.5384
5,60,40,10,0.30000000000000004,0.4669
5,60,40,10,0.4,0.2509
5,60,40,10,0.5,0.2613
5,60,40,10,0.6,0.3011
5,60,40,10,0.7000000000000001,0.1975
5,60,40,10,0.8,0.2108
5,60,40,10,0.9,0.1135
5,80,0,0,0.1,0.1135
5,80,0,0,0.2,0.1135
5,80,0,0,0.30000000000000004,0.1135
5,80,0,0,0.4,0.101
5,80,0,0,0.5,0.101
5,80,0,0,0.6,0.101
5,80,0,0,0.7000000000000001,0.101
5,80,0,0,0.8,0.101
5,80,0,0,0.9,0.101
5,80,0,10,0.1,0.1135
5,80,0,10,0.2,0.1135
5,80,0,10,0.30000000000000004,0.1135
5,80,0,10,0.4,0.101
5,80,0,10,0.5,0.101
5,80,0,10,0.6,0.101
5,80,0,10,0.7000000000000001,0.101
5,80,0,10,0.8,0.101
5,80,0,10,0.9,0.101
5,80,10,0,0.1,0.1135
5,80,10,0,0.2,0.1135
5,80,10,0,0.30000000000000004,0.1135
5,80,10,0,0.4,0.101
5,80,10,0,0.5,0.101
5,80,10,0,0.6,0.101
5,80,10,0,0.7000000000000001,0.101
5,80,10,0,0.8,0.101
5,80,10,0,0.9,0.101
5,80,10,10,0.1,0.5608
5,80,10,10,0.2,0.4448
5,80,10,10,0.30000000000000004,0.2027
5,80,10,10,0.4,0.2201
5,80,10,10,0.5,0.1665
5,80,10,10,0.6,0.3063
5,80,10,10,0.7000000000000001,0.2556
5,80,10,10,0.8,0.1135
5,80,10,10,0.9,0.2478
5,80,20,0,0.1,0.1135
5,80,20,0,0.2,0.1135
5,80,20,0,0.30000000000000004,0.1135
5,80,20,0,0.4,0.101
5,80,20,0,0.5,0.101
5,80,20,0,0.6,0.101
5,80,20,0,0.7000000000000001,0.101
5,80,20,0,0.8,0.101
5,80,20,0,0.9,0.101
5,80,20,10,0.1,0.5972
5,80,20,10,0.2,0.3131
5,80,20,10,0.30000000000000004,0.3483
5,80,20,10,0.4,0.2472
5,80,20,10,0.5,0.2457
5,80,20,10,0.6,0.101
5,80,20,10,0.7000000000000001,0.1282
5,80,20,10,0.8,0.2469
5,80,20,10,0.9,0.101
5,80,30,0,0.1,0.1135
5,80,30,0,0.2,0.1135
5,80,30,0,0.30000000000000004,0.1135
5,80,30,0,0.4,0.101
5,80,30,0,0.5,0.101
5,80,30,0,0.6,0.101
5,80,30,0,0.7000000000000001,0.101
5,80,30,0,0.8,0.101
5,80,30,0,0.9,0.101
5,80,30,10,0.1,0.7642
5,80,30,10,0.2,0.3344
5,80,30,10,0.30000000000000004,0.337
5,80,30,10,0.4,0.098
5,80,30,10,0.5,0.3019
5,80,30,10,0.6,0.2033
5,80,30,10,0.7000000000000001,0.2913
5,80,30,10,0.8,0.1787
5,80,30,10,0.9,0.1158
5,80,40,0,0.1,0.1135
5,80,40,0,0.2,0.1135
5,80,40,0,0.30000000000000004,0.1135
5,80,40,0,0.4,0.101
5,80,40,0,0.5,0.101
5,80,40,0,0.6,0.101
5,80,40,0,0.7000000000000001,0.101
5,80,40,0,0.8,0.101
5,80,40,0,0.9,0.101
5,80,40,10,0.1,0.7186
5,80,40,10,0.2,0.5504
5,80,40,10,0.30000000000000004,0.2674
5,80,40,10,0.4,0.2375
5,80,40,10,0.5,0.2975
5,80,40,10,0.6,0.3458
5,80,40,10,0.7000000000000001,0.2002
5,80,40,10,0.8,0.1691
5,80,40,10,0.9,0.1032
